Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal
Keurig Dr Pepper	31	With 91% of employees participating in the 2024 survey, findings showed that 81% of KDP employees are engaged, committed to staying with KDP and have a strong sense of accomplishment from their work, up from 80% in 2023.	S	Strong	Yes	Supported
Keurig Dr Pepper	31	We also reduced recordable safety incidents by 40% in our U.S. manufacturing locations that produce refreshment beverages in 2024, compared to the year prior.	S	Strong	Yes	Supported
Keurig Dr Pepper	31	Moving forward, in a reflection of the dynamic landscape and changing requirements our reporting is evolving, and we will continue to report on our employee engagement, our workplace safety performance and highlights from our community engagement initiatives.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	32	For example, our ERGs hosted the fourth annual KDP Innovation Challenge, in which employees from across the company submitted more than 120 innovative ideas aimed at supporting KDP’s Strategic Framework.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	32	In addition, KDP reached a milestone in our annual engagement survey with 91% of employees sharing their voice.	S	Strong	Yes	Supported
Keurig Dr Pepper	32	We saw a positive increase in the overall engagement scores of frontline team members and a nearly two pp increase in our Supply Chain score, reflecting more than 7,000 employees.	S	Strong	Yes	Supported
Keurig Dr Pepper	32	Each manager received personal benchmarks from KDP’s engagement survey, developed plans targeting their lowest-scoring leadership behaviors and completed KDP’s Fearless and Fair Communication training.	S	Vague	No	Vague
Keurig Dr Pepper	32	Results from a follow-up survey later in 2024 showed improvements across both workforce segments.	S	Vague	No	Vague
Keurig Dr Pepper	32	Each year KDP evaluates the total rewards packages to ensure benefits and wellness offerings remain competitive and inspire employees to prioritize their well-being.	S	Vague	No	Vague
Keurig Dr Pepper	32	Focusing on Workplace Health & Safety KDP implemented several safety and security initiatives focused on training and development, investments in infrastructure and technology upgrades in 2024.	S	Vague	No	Vague
Keurig Dr Pepper	32	We held eight Employee Health & Safety boot camps, which included executing a multi-day training curriculum for our frontline leadership such as plant management, supervisors and shift leads.	S	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	33	Red Cross Partnership KDP has a multi-year partnership with the American Red Cross and the Canadian Red Cross to provide support to families and communities in need across the U.S. and Canada through both financial support and in-kind donations.	S	Vague	No	Vague
Keurig Dr Pepper	33	In 2024, we supported American Red Cross employees and volunteers at disaster centers with Keurig brewers and coffee.	S	Vague	No	Vague
Keurig Dr Pepper	33	Engage for Good KDP’s Engage for Good program provides employees with matching donations and volunteer grants as a reward for those who volunteer in their communities.	S	Vague	No	Vague
Keurig Dr Pepper	33	• KDP employees came together in McKinney, Texas to lend a hand at Grace Bridge, a local nonprofit dedicated to providing necessities to those in need.	S	Vague	No	Vague
Keurig Dr Pepper	33	These daily necessities are some of the first things communities need when rebuilding from storms and are a staple of the support the American Red Cross provides across the nation.	S	Vague	No	Vague
Keurig Dr Pepper	35	Strategy We believe strong corporate governance and ethics provides the foundation for a culture of integrity, transparency and responsibility.	G	Vague	No	Vague
Keurig Dr Pepper	35	Management Approach The KDP Board of Directors oversees environmental sustainability, social responsibility and corporate governance strategies and commitments, as outlined in our Corporate Governance Principles.	G	Vague	No	Vague
Keurig Dr Pepper	35	The personal and professional backgrounds and experiences of our Board enhance its effectiveness and ability to provide broad perspectives and constructive feedback to management.	G	Vague	No	Vague
Keurig Dr Pepper	36	KDP’s Corporate Code of Conduct is an expression of our values and provides guideposts for employees and directors to make the right decisions and act responsibly.	G	Vague	No	Vague
Keurig Dr Pepper	36	Provides primary board-level oversight of strategy and commitments.	G	Vague	No	Vague
Keurig Dr Pepper	37	KDP discloses its U.S. federal, state and local lobbying activity and expenditures as required by law via the Lobbying Disclosure website.	G	Vague	No	Vague
Keurig Dr Pepper	37	We also voluntarily publish a report every year which details our trade association memberships, including those associations that received more than $25,000 per year in non-deductible fees for federal lobbying expenditures.	G	Vague	No	Vague
Keurig Dr Pepper	37	We are committed to protecting the personal information entrusted to us by our consumers, customers, employees and business partners.	S	Vague	No	Vague
Keurig Dr Pepper	39	This can mean either home compostable (at specific temperatures and with a natural microbial community) or industrially compostable (under increased temperatures, humidity and specifically formulated microbial conditions).	S	Vague	No	Vague
Keurig Dr Pepper	39	Fleet Decarbonization Efforts to remove or reduce the levels of carbon emissions (such as carbon dioxide) caused by or involved in fleet operations.	E	Vague	No	Vague
Keurig Dr Pepper	39	GHG Emissions – Scope 1, 2 and 3 Scope 1 emissions Direct GHG emissions from sources that are controlled or owned by KDP (e.g., fuel used in fleet and manufacturing).	E	Vague	No	Vague
Keurig Dr Pepper	39	Scope 2 emissions Indirect GHG emissions associated with the purchase or operations of sources that are not controlled or owned by KDP (e.g., electricity).	E	Vague	No	Vague
Keurig Dr Pepper	39	Scope 3 emissions Indirect GHG emissions from sources not owned by the company throughout our value chain (e.g., upstream transportation, materials processing, use of sold products, etc.).	E	Vague	No	Vague
Keurig Dr Pepper	39	Producer Responsibility Organization A company or entity, often a nonprofit like the Circular Action Alliance, established by manufacturers to fulfill their legal Extended Producer Responsibility obligations related to the collection, recycling and disposal of waste generated by their products, particularly in sectors like packaging.	E	Vague	No	Vague
Keurig Dr Pepper	40	Packaging for which design is not a barrier to the packaging being successfully collected, sorted and reprocessed into another material, a product component or a recycled raw material.	E	Vague	No	Vague
Keurig Dr Pepper	40	Packaging we consider to be recyclable includes materials and formats for which recovery, sortation and end markets exist or can practically be scaled across North America, noting that many communities may not accept or sort certain materials or formats today.	E	Vague	No	Vague
Keurig Dr Pepper	40	Regenerative Agriculture & Conservation Regenerative Agriculture is a holistic, localized approach to agricultural production and land management that seeks to mitigate climate change, increase soil health, support resilient landscapes and improve farmer livelihoods.	E	Vague	No	Vague
Keurig Dr Pepper	40	Newly manufactured resin produced from petrochemical or biomass feedstock used as the raw material for the manufacture of plastic products and which has not been used or processed before.	E	Vague	No	Vague
Keurig Dr Pepper	40	Volumetric Water Benefits Water stewardship activity outputs, estimated in volume per unit of time, that help reduce shared water challenges.	E	Vague	No	Vague
Keurig Dr Pepper	41	3 250,000 acres represent approximately 50% of the land area used to grow the crops in scope for the goal, which include coffee, corn and apple, based on our 2023 purchasing footprint.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	41	The SBTi FLAG Guidance is a standard for companies in land-intensive sectors to set SBTs that include land-based GHG emissions, reductions and removals.	E	Vague	Partial	Weak Evidence
Keurig Dr Pepper	41	Each individual program has specific parameters for which materials can be recycled and municipalities collect recyclables in different ways.	E	Vague	No	Vague
Keurig Dr Pepper	41	7 60% of people are confused about how and what to recycle, according to The Recycling Partnership.	E	Strong	Yes	Supported
Keurig Dr Pepper	41	9 We estimate that our global coffee supply chain includes over 100,000 farmers, plus many more workers employed on the farms.	S	Strong	Yes	Supported
Keurig Dr Pepper	41	Second-party verification and third-party certification partners audit a representative sample of farms.	G	Vague	Partial	Weak Evidence
Keurig Dr Pepper	41	12 KDP determines which suppliers are in scope for responsible sourcing audits based on third-party, country- and product-level risk data.	G	Vague	Partial	Weak Evidence
Keurig Dr Pepper	41	We consider a high-risk factory compliant if it earns an audit rating of Meets or Exceeds Expectations.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	41	For any that receive a Below Expectations rating, we work directly with those suppliers to remediate issues and verify corrective actions through additional onsite audits and specific trainings.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	41	20 100% of our U.S. salaried employees receive an annual performance review.	S	Strong	Yes	Supported
Keurig Dr Pepper	41	Our hourly workforce receives ongoing feedback throughout the year.	S	Vague	No	Vague
Keurig Dr Pepper	44	GHG emissions associated with the inbound transportation of appliances and beverage concentrate are provided by our logistics vendor.	E	Vague	No	Vague
Keurig Dr Pepper	44	In 2024, the EPA EEIO database was updated from version 1.2 to 1.3, resulting in lower year over year emissions in this category.	E	Vague	No	Vague
Keurig Dr Pepper	44	*****Renewable electricity in 2020, 2021, 2022, 2023 and 2024 was sourced through a mix of Green-e certified REC products.	E	Vague	Partial	Weak Evidence
Keurig Dr Pepper	45	Total water capacity “replenished” or otherwise restored, protected, conserved in nature through our water stewardship partner projects.	E	Vague	No	Vague
Keurig Dr Pepper	46	Recyclable packaging is packaging for which design is not a barrier to the packaging being successfully collected, sorted and reprocessed into another material, a product component or a recycled raw material.	E	Vague	No	Vague
Keurig Dr Pepper	46	Packaging we consider to be recyclable includes materials and formats for which recovery, sortation and end markets exist or can be practically scaled across North America, noting that many communities may not accept or sort certain materials or formats today.	E	Vague	No	Vague
Keurig Dr Pepper	46	In 2023, EMF included the category “polypropylene other rigid” as recyclable and 89.9% of KDP plastic packaging fit this definition.	E	Strong	Yes	Supported
Keurig Dr Pepper	46	We will report the percentage of KDP plastic packaging that fit this definition in 2024 to EMF in late 2025.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	48	Future sourcing from this supplier will be contingent on the supplier being audited to a KDP-accepted audit standard during the harvest when workforce is present on site.	G	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	49	Responsible Sourcing - KDP Owned Operations Number of Facilities Audited* N/A N/A N/A N/A 14 % of Facilities that Meet/Exceed Expectations N/A N/A N/A N/A 100% *We are auditing KDP’s facilities through a phased approach.	G	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	49	The number of facilities audited in 2024 represents approximately 45% of KDP’s total owned manufacturing sites.	G	Strong	Yes	Supported
