n	Page	Sentence	verdict	category	esg_true	claim_type_true	admitted_by
179	45	■Social-First: We provided global training to our marketers on applying the principle across insight generation, growth strategy, innovation and design, and building brands in culture.	claim	genuine_property	S	Vague	verb:train/provid
180	45	We have further mandatory training (such as sexual harassment training) in a number of countries in which we operate, in response to regulatory requirements.	claim	genuine_property	S	Vague	verb:train
181	45	Training is also made available to employees on subjects such as how to recognise forced labour, our working hours policy and inclusion.	claim	genuine_property	S	Vague	verb:train
182	45	This is supported by our Framework for Fair Compensation 2022 which outlines the company’s position on wages for direct employees.	non_claim	activity_report	S	NA	verb:support
183	45	Accountability for implementation of the framework sits with the Chief People Officer; the framework is publicly available and applied locally through compensation policies and procedures.	non_claim	governance_role	S	NA	verb:implement
184	45	Learnings from key incidents and near- misses are shared via training.	claim	genuine_property	S	Vague	verb:train
185	45	Freedom of association and collective bargaining As set out in our Approach to Human Rights section on page 251, Unilever’s Code Policies reflect our commitments with regard to freedom of association and collective bargaining.	non_claim	alignment_selfref	S	NA	filter_relaxed
186	45	Additional data points (headcount data for approximately 6% of employees plus manual data points) have been collected as at 31 October 2025; any significant changes to 31 December 2025 are reviewed.	non_claim	methodology_definition	S	NA	filter_relaxed
187	46	At 31 December 2025, there were a further 1,060 employees reported as part of the demerger of the Ice Cream business and the net movement of joiners and leavers over the reporting period was (323).	non_claim	methodology_definition	S	NA	unit
188	46	Employee turnover 2025 2024 Total turnover of employees in year (headcount) 16,527 17,334 Rate of employee turnover (%) 17.2% 14.5% The increase in employee turnover, seen between 2024 and 2025, is primarily due to the impact of Unilever’s productivity programme.	non_claim	table_fragment	S	NA	filter_relaxed
189	46	Collective bargaining coverage and social dialogue Unilever does not have any EEA countries that meet the criteria of significant employment.	non_claim	methodology_definition	S	NA	verb:collect
190	46	Therefore we do not report (i) collective bargaining by region within the EEA, or (ii) in relation to social dialogue, the percentage of employees covered at the establishment level by workers’ representatives by country.	non_claim	methodology_definition	S	NA	verb:collect/we do not
191	46	Employees covered by collective bargaining agreements 2025 2024 Total percentage of employees covered by collective bargaining agreements 53.3% 54.6% SOCIAL DISCLOSURES Sustainability Statement Unilever Annual Report and Accounts 2025 257	non_claim	table_fragment	S	NA	filter_relaxed
192	47	This is either the applicable legal living or legal minimum wage, the minimum wage set by applicable collective bargaining agreements, or where neither exists, either an appropriate alternative adequate wage benchmark (as set out in AR73) or the voluntary living wage.	non_claim	methodology_definition	S	NA	verb:collect
193	48	As of February 2026, for 2 incidents where employees were absent at 31 December 2025, actual days lost for one employee that returned have been included and an additional estimated 95 days included to accommodate anticipated days lost in 2026 for the other employee.	non_claim	methodology_definition	S	NA	unit
194	48	(c) Days lost in 2024 included 7 incidents where employees were absent at 31 December 2024; a total of 448 days were included pertaining to these incidents of which 214 were estimated.	non_claim	methodology_definition	S	NA	unit
195	48	Total actual days lost for the employees were 643 days (including 2 incidents capped at 180 days) based on data provided in 2025.	non_claim	methodology_definition	S	NA	verb:provid
196	49	NCP complaints are reviewed to identify whether they pertain to work-related human rights.	non_claim	methodology_definition	S	NA	verb:compl
197	49	Substantiation is determined through review by the relevant Unilever Business Integrity Officer and/or Responsible Business Manager and the management of the Third-Party Service Provider, where applicable.	non_claim	methodology_definition	S	NA	verb:provid
198	49	Incidents of discrimination, including harassment An incident is a legal action or complaint registered with Unilever or competent authorities through a formal process, or an instance of non- compliance identified by Unilever through established procedures.	non_claim	methodology_definition	S	NA	verb:process/compl
199	49	Established procedures to identify instances of non-compliance can include audits, formal monitoring programmes or grievance mechanisms.	non_claim	methodology_definition	S	NA	verb:compl
200	50	We are also continuing to support our last-mile distribution programmes, which help us to reach consumers in remote areas.	non_claim	activity_report	S	NA	topic:consumer
201	50	Targets relating to sustainable sourcing and regenerative agriculture practices in our value chain are detailed in our Biodiversity and Ecosystem disclosures on page 241.	non_claim	navigation	E	NA	filter_relaxed
202	51	Allocation to Ice Cream: Procurement spend relating to raw and packaging materials purchased by Unilever are estimated based on proportion of raw and packaging materials used in Ice Cream finished goods, using information such as product recipes and production volumes.	non_claim	methodology_definition	S	NA	verb:purchas
203	51	For SMEs served by Ice Cream and non-Ice Cream distributors, no allocation is made to Ice Cream since it is assumed that these SMEs will be part of Unilever’s continuing operations following the demerger of our Ice Cream business.	non_claim	methodology_definition	S	NA	topic:sme
204	52	The Code policy is supported by Unilever’s internal marketing and brand guidelines, including the Marketing to Children Principles.	non_claim	activity_report	S	NA	topic:marketing to children + verb:support
205	52	Our marketing teams and agencies are responsible for compliance with these principles.	non_claim	governance_role	S	NA	verb:compl
206	52	We operate consumer care lines around the world for our consumers to share any comments or concerns, with details provided on packs and through our websites.	claim	genuine_property	S	Vague	topic:consumer + verb:provid
207	52	We monitor feedback provided by consumers on Unilever’s brands and products on social media and through product reviews on digital commerce sites.	non_claim	activity_report	S	NA	verb:provid
208	52	We also use consumer research from partners such as Kantar, Nielsen and Ipsos, who we engage through their regular surveys and panels.	non_claim	activity_report	S	NA	topic:consumer + verb:we engage
209	52	We use these insights to support our aim of providing superior products and delivering great consumer experiences.	non_claim	other_nonclaim	S	NA	topic:consumer
210	52	Processes to remediate impacts and channels to raise concerns The communication channels referenced above, including our consumer care lines and websites, offer consumers multiple mechanisms through which to raise any concerns.	claim	genuine_property	S	Vague	topic:consumer + verb:process
211	52	Trained consumer communication agents respond to questions where appropriate, and their use and effectiveness are tracked by monitoring performance against set indicators and through consumer feedback surveys.	non_claim	activity_report	S	NA	topic:consumer + verb:train
212	52	By closely monitoring consumer feedback data, we can detect emerging issues and respond quickly.	claim	genuine_property	S	Vague	topic:consumer + verb:issu
213	52	In the event of a marketplace incident relating to consumer safety or product quality, an incident management team is activated to ensure timely and effective action.	non_claim	governance_role	S	NA	verb:ensur
214	52	Marketing to Children Our marketing teams are responsible for ensuring compliance with our Marketing to Children Principles.	non_claim	governance_role	S	NA	verb:ensur/compl
215	52	Where non-compliance is identified, our teams work to make the necessary changes, such as changes to artwork, to ensure adherence to the principles.	non_claim	activity_report	S	NA	verb:ensur/compl
216	52	Code of Business Principles Individuals can report concerns about potential breaches of Unilever’s COBP and Code Policies through our Code reporting channels.	claim	genuine_property	G	Vague	topic:cobp
217	53	We have labelling approval processes in place to ensure compliance with external regulations and Unilever’s policies.	claim	genuine_property	S	Vague	verb:process/ensur/compl/in place
218	53	We monitor the effectiveness of our product safety processes and controls in a number of ways, including leadership scorecards and tracking key metrics such as marketplace incidents/recalls, consumer- safety-related complaints, and the completion of audits and associated actions.	non_claim	activity_report	S	NA	verb:process/compl/recall
219	53	We also track the completion of our corrective and preventive actions, for example, those related to marketplace incidents/recalls and consumer-safety-related manufacturing incidents, to ensure that our processes for learning from incidents are effective in preventing future recurrence.	non_claim	activity_report	S	NA	verb:process/ensur/compl/recall
220	53	The quality and safety of our products are also managed through our enterprise risk process.	non_claim	governance_role	S	NA	verb:process
221	53	We actively disseminate the research we do to guarantee that our products are safe, without the need for animal testing, to support others in also building new capabilities based on advanced science.	claim	genuine_property	S	Vague	topic:animal + verb:support
222	53	Our actions on product safety are supported by the expertise of our Safety, Environmental & Regulatory Science (SERS) group, which is our global centre of excellence in safety and sustainability science, and our Quality expertise teams.	non_claim	governance_role	S	NA	verb:support
223	53	Our dedicated team of safety and environmental scientists, including many who are internationally recognised as leaders in their fields, have expertise in allergy, chemistry, exposure science, microbiology, risk assessment, toxicology, process safety, computational modelling and data science, and environmental safety and sustainability science.	non_claim	governance_role	S	NA	verb:process
224	53	Marketing to Children The updated Marketing to Children Principles has been published on our Responsible Business platform and communicated through internal channels.	non_claim	activity_report	S	NA	topic:marketing to children + verb:publish
225	53	In relation to responsible marketing, non-compliances are identified and addressed on a case-by-case basis.	non_claim	activity_report	S	NA	verb:compl
226	53	In addition to Unilever’s Science-based Nutrition Criteria, we publish a scoring of our portfolio against six externally endorsed Nutrient Profiling Models, contributing to greater transparency in nutrition disclosure.	claim	genuine_property	S	Strong	verb:publish
227	54	Products that do not exceed any of the criteria or thresholds are considered to be compliant.	non_claim	methodology_definition	S	NA	verb:compl/exceed
228	54	See page 243 for actions and targets relating to our plastic packaging.	non_claim	navigation	E	NA	filter_relaxed
229	55	Governance Disclosures Business Conduct GOVERNANCE The role of administrative, management and supervisory bodies The ultimate responsibility for Unilever’s conduct is with Unilever’s Board, which is responsible for both setting and monitoring the culture of the business.	non_claim	governance_role	G	NA	verb:conduct
230	55	The key elements of Unilever’s standards of conduct are set out in our Code of Business Principles (COBP) and Code Policies, which provide a set of mandatory rules that govern how we run our business.	non_claim	governance_role	G	NA	topic:cobp + verb:conduct/provid
231	55	Responsibility for the day-to-day implementation of the COBP and Code Policies is delegated to the Unilever Leadership Executive and all senior management across Unilever’s Business Groups, business units and functions.	non_claim	governance_role	G	NA	topic:cobp + verb:implement
232	55	For each of our principal risks, including Legal and Compliance risk, we review the risk management frameworks annually to identify changes in the risk profile.	non_claim	governance_role	G	NA	verb:compl
233	55	From a governance perspective, this process incorporates several inputs, such as a global fraud risk assessment conducted at both a functional and market level to identify risks, including corruption and bribery.	non_claim	activity_report	G	NA	verb:process/conduct
234	55	■Detection – we encourage employees to speak up and identify potential issues through auditing and monitoring processes.	non_claim	activity_report	G	NA	verb:process/issu
235	55	This approach is underpinned by Unilever’s COBP, with each principle supported by a Code Policy setting out what employees must and must not do to ensure they are living the Code.	non_claim	governance_role	G	NA	verb:ensur/support
236	55	Corporate culture The COBP and Code Policies set out the standards of conduct we expect from our employees.	non_claim	governance_role	G	NA	verb:conduct
237	56	Business conduct policies The Code of Business Principles (COBP) and Code Policies define the ethical behaviours that everyone must demonstrate when working for Unilever.	non_claim	governance_role	G	NA	verb:conduct
238	56	While the COBP and Code Policies are for internal use, we also publish them externally in support of transparency.	claim	genuine_property	G	Vague	verb:publish/support
239	56	Business conduct training Employees and Directors are required to know the COBP and Code Policies and understand how to apply them in their work.	claim	genuine_property	G	Vague	verb:conduct/train
240	56	Completion of training is tracked, and we follow up with employees who fail to complete mandatory training, taking further action where required.	claim	genuine_property	G	Vague	verb:compl/train/we follow
241	56	Identifying and reporting breaches Unilever’s Code Policies require that actual or potential breaches of the COBP or Code Policies be reported immediately.	claim	genuine_property	G	Vague	topic:cobp
242	56	Additionally, we provide robust internal and external reporting platforms that are accessible to our employees and partners to facilitate prompt reporting.	claim	genuine_property	G	Vague	verb:provid
243	56	The available reporting channels are set out in our Code Policies and highlighted during business integrity training and in our communications.	non_claim	activity_report	G	NA	verb:train
244	56	Employees are also informed that if they prefer not to use the direct or anonymised channels provided by Unilever, they can utilise other external channels and report directly to the authorities.	non_claim	activity_report	G	NA	verb:provid
245	56	All Business Integrity Officers are trained on Unilever’s standards and processes and are required to uphold these at all times.	claim	genuine_property	G	Vague	verb:process/train
246	56	Final determination may take longer depending on the nature and complexity of the concern.	non_claim	other_nonclaim	G	NA	verb:compl
247	56	Management of relationships with suppliers Procurement processes, including fair behaviour with suppliers The COBP and Code Policies govern our employees’ fair treatment of Unilever’s suppliers and procurement processes.	claim	genuine_property	G	Vague	verb:process
248	56	This includes ensuring that all third parties are subject to the provided Responsible Partner Policy (RPP) controls for onboarding, contracting and ongoing monitoring.	claim	genuine_property	G	Vague	verb:ensur/provid
249	56	Responsible partnerships Unilever’s RPP is sponsored by our Chief Procurement Officer and helps us to manage relationships with our suppliers.	non_claim	governance_role	G	NA	topic:rpp + verb:help
250	56	The scope of our RPP goes beyond our Tier 1 suppliers, who directly invoice Unilever for goods and services, by including our expectation for suppliers to cascade equivalent requirements within their own supply chains.	claim	genuine_property	G	Vague	unit
251	56	Suppliers are encouraged to communicate with Unilever if they face challenges in meeting the RPP requirements, so we can provide support and guidance.	non_claim	activity_report	G	NA	topic:rpp + verb:support/provid
252	57	Unilever’s mandatory standard on animal testing sets out the strict internal approval and control procedures in place to ensure our position is upheld.	claim	genuine_property	G	Vague	topic:animal + verb:ensur/in place
253	57	To ensure the safety of our products, we develop and advance the use of safety assessment approaches based on modern science that do not rely on new animal data.	claim	genuine_property	G	Vague	verb:ensur
254	57	In support of this, we partner with our ingredient suppliers to proactively share our non-animal safety science and non-animal approaches for chemicals registration.	non_claim	activity_report	G	NA	verb:support
255	57	Our RPP also addresses farm animal welfare, which helps us manage our relationship with suppliers.	claim	genuine_property	G	Vague	topic:rpp/animal + verb:help
256	57	These prohibit both public and commercial bribery, to or from any third party, and irrespective of financial values involved, and explicitly prohibit facilitation payments.	claim	genuine_property	G	Vague	verb:prohibit
257	57	Detailed written anti-corruption guidance and standards are also in place in relevant areas, such as with public officials, gifts and hospitality, grants and donations, and conflicts of interest.	claim	genuine_property	G	Vague	verb:in place
258	57	The COBP and Code Policies are available in multiple languages, and lessons are included in the annual mandatory training.	claim	genuine_property	G	Vague	verb:train
259	57	Preventing, detecting and addressing allegations or incidents of corruption and bribery The core processes to prevent, detect and address allegations or incidents of corruption and bribery are the same as those in place for Unilever’s COBP and Code Policies.	non_claim	alignment_selfref	G	NA	verb:process/in place
260	57	We continuously introduce tailored measures to mitigate these risks, along with additional bespoke training.	claim	genuine_property	G	Vague	verb:introduc/train
261	57	Additional bespoke training is offered for employees who may face a greater risk in their activities in respect of corruption or bribery, such as those in external-facing commercial roles.	claim	genuine_property	G	Vague	verb:train
262	57	The anti-corruption and anti-bribery training programme is sponsored by the Chief Legal Officer and Chief Business Integrity Officer.	non_claim	governance_role	G	NA	verb:train
263	57	Political influence and lobbying activities Unilever engages with governments, policymakers, regulators, NGOs and other stakeholders involved in policy and government through our advocacy and lobbying activities.	non_claim	activity_report	G	NA	verb:lobby
264	57	Such activity must be conducted with honesty, integrity and openness, and in compliance with local and international laws.	non_claim	policy_content	G	NA	verb:conduct/compl
265	57	Oversight of political engagement In 2025, Unilever’s Chief Corporate Affairs and Communications Officer oversaw both national government engagement and lobbying activity, as well as global engagement with intergovernmental organisations and NGOs.	non_claim	governance_role	G	NA	verb:lobby
266	58	Main topics covered by Unilever’s political engagement The scale of Unilever’s business operations, and the fact that many areas of the consumer goods industry are regulated, means we engage regularly with governments and policymakers.	non_claim	activity_report	G	NA	topic:consumer/political
267	58	Unilever provides input to consultations on regulatory changes, sharing new scientific approaches and how we apply them to safety decision- making.	non_claim	activity_report	G	NA	verb:provid
268	58	Unilever entities are also listed in the lobbying registers of other EU Member States, as set out below.	claim	genuine_property	G	Vague	verb:lobby
269	58	Country Name of Register Entity ID number Germany Lobbyregister beim Deutschen Bundestag Unilever Germany R003910 Ireland Register of Lobbying Unilever UK&I 2621 GOVERNANCE DISCLOSURES Sustainability Statement Unilever Annual Report and Accounts 2025 269	non_claim	table_fragment	G	NA	verb:lobby
270	59	SME identification is based on local government definitions and sourced from third-party databases.	non_claim	methodology_definition	G	NA	topic:sme
271	59	In 2025, Unilever paid over 6.1 million invoices (2024: 6.9 million) to approximately 73k suppliers (2024: 76K).	non_claim	methodology_definition	G	NA	topic:invoice
272	59	Of these, 0.7 million invoices were Ice Cream-specific.	non_claim	methodology_definition	G	NA	topic:invoice
273	59	As Unilever continued to process these invoices on behalf of Ice Cream up to the date of the demerger, we have not split these metrics.	non_claim	methodology_definition	G	NA	topic:invoice + verb:process
