n	status	page	sentence	drop_reason	esg	claim_type	category	reason	used_context	verifier	in_sample
940	confirmed	33	Reduce our virgin plastic footprint by 30% by 2026, and 40% by 2028, from a 2019 baseline; and Use 25% recycled plastic in our packaging by 2025 Virgin plastic packaging is derived from fossil fuels and/or bio-based sources and has not been recycled.	reference_dense	E	Future Promise	table_blob	Heading restates own targets: 30% virgin plastic cut by 2026, 40% by 2028.	True	claude-inline	False
961	confirmed	33	We have increased our use of PCR by 4% compared to 2024, reaching 25% PCR and meeting our 2025 target.	not_assertion	E	Strong	genuine_result	PCR use up 4% vs 2024, reaching 25% and meeting target.	False	claude-inline	False
963	confirmed	33	Our plastic collection programme is now implemented in 14 countries (2024: 11), the progress of which was supported by long-standing partners and new collaborators.	not_assertion	E	Strong	genuine_result	Collection programme now in 14 countries (2024: 11).	False	claude-inline	False
964	confirmed	33	In addition, 12 countries achieved collection and processing rates of 100% or greater in 2025 (2024: 8).	not_assertion	E	Strong	genuine_result	12 countries achieved 100%+ collection and processing rates in 2025.	False	claude-inline	False
1040	confirmed	36	We meet the minimum set of criteria with respect to human rights, corruption and bribery, taxation and fair competition.	not_assertion	G	Vague	genuine_property	Asserts Unilever meets EU Taxonomy minimum safeguards on human rights, bribery, tax	False	claude-inline	False
1079	refuted	38	Capability building across our value chain to improve livelihoods ▲ Positive Impact (VC) Unilever supports people in our value chain, including smallholder farmers, to improve their livelihoods.	iro_register	S	Vague	genuine_property	IRO row but phrased as own conduct: Unilever supports smallholders' livelihoods	True	claude-inline	False
1121	confirmed	40	We also follow the OECD Guidelines for Multinational Enterprises, which provide voluntary principles and standards for responsible business conduct, including employment and industrial relations and guidance on effective human rights due diligence.	not_assertion	G	Vague	genuine_property	Asserts own adherence to OECD Guidelines; verifiable conduct property	False	claude-inline	False
1127	confirmed	40	■Providing fair and equitable wages that meet or exceed legal or industry standards.	not_assertion	S	Vague	genuine_commitment	Stem 'how we will respect ... by': own wage commitment meeting legal standards	True	claude-inline	False
1128	confirmed	40	■Not using any form of forced labour, including compulsory, trafficked or child labour.	not_assertion	S	Vague	genuine_commitment	Stem 'we will ... by': own no-forced/child-labour commitment	True	claude-inline	False
1130	confirmed	40	■Respecting the dignity of the individual and the right of employees to freedom of association and collective bargaining.	not_assertion	S	Vague	genuine_commitment	Stem 'we will ... by': own freedom-of-association commitment	True	claude-inline	False
1139	contested	40	Business partners must confirm their ability to meet the requirements of the RPP upon registration and annual renewal to our systems through self-assessments, due diligence and risk-based audits.	not_assertion	G	Vague	genuine_property	Unilever-imposed annual RPP confirmation control, like annual COBP pledge	False	claude-inline	False
1146	refuted	40	The People & Nature Policy sets out our commitments to respect and advance the human rights of all people, in accordance with the UNGPs.	policy_content	S	Vague	genuine_commitment	'Our commitments to respect and advance human rights' per UNGPs	False	claude-inline	False
1169	confirmed	41	Our Memorandum of Understanding with the IUF and IndustriAll confirms our commitment to biannual meetings and ongoing communications as required.	not_assertion	S	Vague	genuine_property	MoU with global unions commits Unilever to biannual meetings	False	claude-inline	False
1178	confirmed	41	We have a clearly defined due diligence process for land transactions, which is mandated for each transaction prior to completion.	not_assertion	S	Vague	genuine_property	Land-transaction due diligence mandated before every completion	False	claude-inline	False
1179	contested	41	The process includes conducting Environmental and Social Impact Assessments (ESIAs) and stakeholder consultations in line with the principles of Free, Prior and Informed Consent (FPIC), managed through internal approval gateways overseen by the Responsible Business team.	not_assertion	S	Vague	genuine_property	Land process includes ESIAs and FPIC-aligned consultations	True	claude-inline	True
1198	confirmed	41	In 2025, we expanded the programme to 50 additional suppliers and launched it in the Philippines and Turkey.	not_assertion	S	Strong	genuine_result	HRDD supplier programme expanded to 50 suppliers, two new countries in 2025	True	claude-inline	False
1205	confirmed	42	■Continuing to partner with VietCycle on the ‘Plastic Reborn’ programme to provide training, PPE and other essential support to over 3,000 waste collectors in Vietnam since 2021.	not_assertion	S	Strong	genuine_result	Achieved deliverable: support to over 3,000 waste collectors since 2021, stem is '2025 actions'	True	claude-inline	False
1207	refuted	42	Unilever is an active member of AIM-Progress and its working groups, advocating for industry-wide advancements.	not_assertion	S	Vague	genuine_property	Unilever's own advocacy and active AIM-Progress membership, unmeasured	False	claude-inline	False
1208	contested	42	Through the Consumer Goods Forum, we commit to the Priority Industry Principles, participate in the Human Rights Coalition, and serve on the steering committee of the Ethical Recruitment Marketplace to promote responsible recruitment practices.	governance_role	S	Vague	genuine_commitment	'We commit to the Priority Industry Principles' is Unilever's own commitment	False	claude-inline	False
1210	confirmed	42	Carelines are also available across the world for consumers to raise a concern.	not_assertion	S	Vague	genuine_property	Verifiable property: consumer carelines available worldwide as grievance channel	True	claude-inline	False
1211	confirmed	42	Reports can be submitted confidentially and anonymously, where permitted by law.	not_assertion	G	Vague	genuine_property	Verifiable property of Speak Up channel: confidential and anonymous reporting	True	claude-inline	False
1224	confirmed	42	Issues identified during RPP audits are independently verified by a third-party within 90 days to verify whether remediation measures have been effective.	not_assertion	S	Vague	genuine_property	Own process property: third-party verification of audit remediation within 90 days	False	claude-inline	False
1228	confirmed	42	Examples of remediation actions in our value chain in 2025 include: ■Supporting a business partner in North America to reimburse recruitment fees paid by migrant workers employed at their site, while also strengthening their due diligence processes and service level agreements with labour agencies.	not_assertion	S	Vague	genuine_result	Achieved 2025 remediation: migrant workers' recruitment fees reimbursed, unquantified	False	claude-inline	False
1229	confirmed	42	■Engaging with business partners in Turkey to develop and implement a repayment plan to reimburse workers who covered the costs of their own health checks during recruitment processes.	not_assertion	S	Vague	genuine_result	Achieved 2025 remediation: Turkish workers reimbursed for health-check costs, unquantified	False	claude-inline	False
1250	confirmed	43	Workers in value chain Affected communities 2025(a) 2024(b)(c) 2025 2024(b)(d) Total number of severe human rights incidents 0 2 0 0 Those incidents that are cases of non-respect of the UNGPs, ILO Declaration on Fundamental Principles and Rights at Work, or OECD Guidelines for Multinational Enterprises 0 2 0 0 (a) In 2025, 0 severe human rights incidents were identified related to Ice Cream.	length	S	Strong	table_blob	Metric table: zero severe human rights incidents in 2025 (value chain and communities)	True	claude-inline	False
1258	confirmed	44	Additionally, they incorporate explicit non-retaliation policies protecting individuals who report concerns or alleged breaches of the Code, as outlined in our Governance disclosures on page 266.	navigation	G	Vague	genuine_property	Verifiable property: Code Policies include explicit non-retaliation protections	False	claude-inline	True
1293	confirmed	44	Managing impacts and risks related to own workforce Talent We are an FMCG employer of choice for graduates and early career talent, with a 142:1 applicant to job ratio in 2025 (industry average 38:1) and LinkedIn organic engagement of 12% (industry average 7.4%).	reference_dense	S	Strong	genuine_result	Measured own-workforce result: 142:1 applicant ratio, 12% engagement vs industry	False	claude-inline	False
1298	confirmed	44	Between 2025 and 2027, this programme will engage our top 4,000 leaders in a transformative journey to cultivate bold and courageous leadership.	not_assertion	S	Future Promise	genuine_commitment	Own target: Dare to Lead will engage top 4,000 leaders by 2027	True	claude-inline	False
1315	confirmed	45	We conduct annual mandatory Code training for all employees, which regularly includes training on how to recognise bullying and harassment, and discrimination.	not_assertion	S	Vague	genuine_property	Verifiable operational property: annual mandatory Code training for all employees on harassment/discrimination.	False	claude-inline	False
1322	confirmed	45	In 2021, we received our first global independent accreditation as a living wage employer.	not_assertion	S	Strong	genuine_result	Achieved outcome: independent living wage employer accreditation received in 2021.	False	claude-inline	False
1324	confirmed	45	In our own operations, we aim for Zero Harm, which underpins everything we do as a business.	not_assertion	S	Vague	genuine_commitment	Own aspiration/commitment to Zero Harm in operations; unmeasured.	False	claude-inline	False
1327	confirmed	45	Compliance with all applicable legislation and regulations is a mandatory minimum, with our safety standards aligning with obligations set out in the international standard for occupational health and safety management, ISO 45001.	not_assertion	S	Vague	genuine_property	Property claim: own safety standards align with ISO 45001 obligations.	False	claude-inline	False
1360	refuted	47	Percentage of Unilever employees covered by collective bargaining agreements by region Number of non-EEA countries Collective bargaining coverage rate 2025 2024 Non-EEA Countries 0-19% 38 39 Azerbaijan, Cambodia, Canada, China, Costa Rica, Dominican Republic, Ecuador, Egypt, El Salvador, Ethiopia, Guatemala, Honduras, Hong Kong, Jordan, Kazakhstan, Korea, Republic of, Laos, Lebanon, Malaysia, Myanmar, New Zealand, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Qatar, Saudi Arabia, Serbia, Singapore, Taiwan, Trinidad and Tobago, Uganda, Ukraine, United Arab Emirates, United States of America, Uruguay, Zimbabwe 20-39% 8 7 Australia, Chile, Colombia, Ghana, Mexico, Philippines, Turkey, United Kingdom 40-59% 5 12 Algeria, India, Pakistan, South Africa, Switzerland 60-79% 9 7 Bangladesh, Bolivia, Israel, Kenya, Morocco, Nepal, Nigeria, Sri Lanka, Tunisia 80-100% 7 5 Argentina, Brazil, Côte d’Ivoire, Indonesia, Japan, Thailand, Vietnam Unilever confirms that it has agreements in place with its employees for representation by a European Works Council (EWC).	length	S	Vague	genuine_property	Table shred ending with verifiable property: EWC representation agreements in place.	False	claude-inline	False
1406	confirmed	49	2025 2024 Unilever gender pay gap (%) (52) % (49) % Total remuneration ratio 286.6:1 225.7:1 In 2025, the mean pay level for female employees was 52% higher than that of male employees, primarily driven by the composition of our workforce.	reference_dense	S	Strong	table_blob	Reports own 2025 gender pay gap: female mean pay 52% higher than male.	False	claude-inline	False
1409	confirmed	49	As at 31 December 2025, the highest-paid individual was paid more than 286 times the median of all employees.	not_assertion	S	Strong	genuine_result	Own pay ratio result: highest-paid individual 286 times median employee.	False	claude-inline	False
1427	confirmed	49	There have been no fines, penalties or compensation for damages recorded as a result of the incidents, complaints and severe human rights impacts disclosed.	not_assertion	S	Strong	genuine_result	Zero fines, penalties or damages from disclosed human rights incidents.	False	claude-inline	False
1433	refuted	50	■Helping smallholder farmers to improve their productivity and farming practices by enrolling them in certification schemes and providing access to income growth and regenerative agriculture programmes.	not_assertion	S	Vague	genuine_result	Stem frames bullet as own action delivering positive impacts to farmers.	True	claude-inline	False
1434	confirmed	50	In Indonesia, we are supporting smallholder farmers with high-yield dwarf coconut trees, which is making coconut sugar production faster and safer, alongside training families to optimise the sugar-making process.	not_assertion	S	Vague	genuine_result	Own support asserted to make coconut sugar production faster and safer.	False	claude-inline	False
1435	contested	50	We also help small tea growers in India meet sustainability standards through the Trustea certification programme, providing access to digital tools that promote good agricultural practices.	not_assertion	S	Vague	genuine_result	Asserts helping tea growers meet sustainability standards via Trustea.	False	claude-inline	False
1436	refuted	50	■Supporting small to medium-sized enterprises (SMEs) in our retail value chain to access our digital commerce platforms, which enables them to buy directly from us and benefit from product promotions.	not_assertion	S	Vague	genuine_result	Stem frames bullet as own action delivering positive impacts to SMEs.	True	claude-inline	False
1438	confirmed	50	Our Shakti programme supports over 200,000 women micro-entrepreneurs in rural Asia and Africa and provides them with access to business training.	not_assertion	S	Strong	genuine_result	Shakti programme supports over 200,000 women micro-entrepreneurs.	False	claude-inline	False
1439	confirmed	50	Policy advocacy In addition to our actions, we advocate for living wages to become widespread, alongside partners like UN Global Compact, International Labour Organization, IDH and World Benchmarking Alliance.	not_assertion	S	Vague	genuine_property	Unilever itself advocates for widespread living wages with partners.	False	claude-inline	False
1440	confirmed	50	METRICS AND TARGETS Targets Our ambition is to help the people who grow, make and sell our products have a decent livelihood, including by earning a living wage – so they can afford the essentials of daily life and have work that is secure, dignified and fair.	length	S	Vague	table_blob	Own ambition: decent livelihood and living wage across value chain.	False	claude-inline	False
1443	confirmed	50	Our goal is to help 2.5 million SMEs in our retail value chain grow their business by 2026.	not_assertion	S	Future Promise	genuine_commitment	Own goal: help 2.5 million SMEs grow their business by 2026.	False	claude-inline	False
1447	confirmed	51	Livelihood targets Suppliers representing 50% of our procurement spend to sign the Living Wage Promise by 2026 A living wage promise is a commitment made by a supplier to progress towards paying a living wage to workers in their own business operations, either through signing a Living Wage Special Terms Contract (STC) with Unilever or by signing Unilever’s Living Wage Promise document.	length	S	Future Promise	table_blob	Blob opens with own target: 50% spend suppliers sign Living Wage Promise 2026.	False	claude-inline	False
1453	confirmed	51	Help 250,000 smallholder farmers in our supply chain access livelihoods programmes by 2026 Unilever defines a smallholder farmer as a person who rears livestock and/or cultivates crops on one or more plots of land that, individually or in aggregate, is the larger of: up to and including 10 hectares (only counting farmed land), in line with the United Nations Food and Agriculture Organization’s definition of a smallholder farmer, or the size defined by an official regional and/or sector body.	length	S	Future Promise	table_blob	Blob opens with own target: 250,000 smallholder farmers by 2026.	False	claude-inline	False
1460	confirmed	51	Help 2.5 million SMEs in our retail value chain grow their business by 2026 Small and medium-sized enterprises (SMEs) in our retail value chain include businesses selling Unilever goods to consumers in one of the following countries: Bangladesh, Brazil, Ecuador, India, Indonesia, Pakistan, the Philippines, Thailand, Turkey and Vietnam.	length	S	Future Promise	table_blob	Blob opens with own target: 2.5 million SMEs by 2026.	False	claude-inline	False
1467	confirmed	51	However, progress against our SME target in 2025 was lagging and overall there was a decline in active retailers compared to 2024.	not_assertion	S	Strong	genuine_result	Achieved comparative outcome: active retailers declined versus 2024.	False	claude-inline	False
1469	confirmed	51	Despite this gap, retailer adoption showed consistent growth, driven by higher repeat usage and self-ordering.	not_assertion	S	Vague	genuine_result	Asserts own retailer adoption grew consistently, no measure given.	False	claude-inline	False
1470	confirmed	51	Large markets such as India and Indonesia continued to expand SME participation through digital ordering.	not_assertion	S	Vague	genuine_result	Asserts expanded SME participation in India and Indonesia, unmeasured.	False	claude-inline	False
1481	refuted	52	Marketing to children The Responsible Marketing Code Policy sets out our commitment to market our products and services truthfully, accurately and transparently.	policy_content	S	Vague	genuine_commitment	Phrased as our commitment to market truthfully, accurately, transparently.	False	claude-inline	True
1484	confirmed	52	These principles ensure that Unilever adheres to the strictest standards in marketing to children and adheres to all relevant local regulations and pledges.	not_assertion	S	Vague	genuine_property	Claims Unilever adheres to strictest marketing-to-children standards.	False	claude-inline	False
1485	confirmed	52	If no regulations exist, Unilever does not intentionally advertise to children under six, and only markets to those ages six to 13 if products meet Unilever’s Science-based Nutrition Criteria (USNC).	not_assertion	S	Strong	genuine_property	Verifiable operating property: no intentional advertising to under-six children.	False	claude-inline	False
1488	confirmed	52	Engaging with consumers and end-users We engage with our consumers and end-users, including those groups considered vulnerable, through a range of communication channels on a continuous basis, reaching over 3 million consumer contacts in 2025 through our various platforms.	not_assertion	S	Strong	genuine_result	Measured engagement result: over 3 million consumer contacts in 2025.	False	claude-inline	False
1504	confirmed	52	When necessary, we will issue a public recall of the affected products from the marketplace, even if only small quantities of products are involved.	not_assertion	S	Vague	genuine_property	Own recall policy: will publicly recall affected products even for small quantities	False	claude-inline	False
1510	confirmed	52	Our investigation standards require us to record and assess all potential breaches reported.	not_assertion	G	Vague	genuine_property	Own standards require recording and assessing all reported potential breaches	False	claude-inline	False
1524	confirmed	53	Where necessary, we will issue a public recall of the affected products from the marketplace even if only small quantities of products are involved.	not_assertion	S	Vague	genuine_property	Duplicate recall policy: will publicly recall products even for small quantities	False	claude-inline	False
1525	confirmed	53	In 2025, we issued one public recall relating to the Ice Cream business, which was caused by undeclared allergens.	not_assertion	S	Strong	genuine_result	Achieved measurable outcome: exactly one public recall issued in 2025	False	claude-inline	False
1540	confirmed	53	In 2025, we continued to reduce the number of marketplace incidents by more than 8% (excluding Ice Cream) versus 2024.	not_assertion	S	Strong	genuine_result	Marketplace incidents reduced by more than 8% versus 2024	False	claude-inline	False
1566	confirmed	54	On a like-for-like basis with 2024 and 2023, the combined percentage of the Foods and Ice Cream portfolio meeting Unilever’s Science-based Nutrition Criteria was 83% and the number of products sold that deliver positive nutrition was 53% in 2025.	reference_dense	S	Strong	genuine_result	83% portfolio meets USNC, 53% positive nutrition servings in 2025	False	claude-inline	False
1573	contested	54	In Beauty & Wellbeing, Dermalogica partnered with FusionPKG to develop a custom airless package for its skincare line, leveraging the innovative Airless-One™ system to deliver both high-performance dispensing and recyclability.	activity_report	E	Vague	genuine_property	Own brand's airless package asserted to deliver recyclability	False	claude-inline	False
1577	confirmed	54	The ingredients in our products are included at levels that are safe in use.	not_assertion	S	Vague	genuine_property	Verifiable product property: ingredients included at safe-in-use levels	False	claude-inline	False
1579	confirmed	54	We have over 20 accredited brands, including Axe, Dove, Sunsilk and TRESemmé.	not_assertion	S	Strong	genuine_result	Context: over 20 brands PETA/Leaping Bunny certified as not animal-tested	True	claude-inline	False
1598	confirmed	55	Use of non-animal safety science Positive Impact (VC) Unilever is a global leader advocating for regulatory use of modern, non-animal safety science in place of animal testing, working with government groups and other stakeholders.	not_assertion	G	Vague	genuine_property	Unilever's own advocacy for regulatory non-animal safety science; advocacy counts Vague	False	claude-inline	False
1599	refuted	55	Advocacy Positive Impact (OO) (VC) Unilever is actively lobbying governments, regulators and other third parties to influence policies and regulations that will help to drive change in four key areas: climate, nature, plastics and livelihoods.	iro_register	G	Vague	genuine_property	Unilever's own lobbying on climate, nature, plastics, livelihoods; advocacy counts Vague	False	claude-inline	False
1627	confirmed	56	We conduct annual mandatory training for all office-based employees and have tailored training for those employees working in factories and more remote areas.	not_assertion	G	Vague	genuine_property	Annual mandatory integrity training for all office-based employees; verifiable property.	False	claude-inline	False
1629	confirmed	56	Corruption and bribery are risks that may affect any employee, and therefore our mandatory training, deployed for all employees, includes these topics.	not_assertion	G	Vague	genuine_property	Asserts mandatory all-employee training covers corruption and bribery topics.	False	claude-inline	False
1634	confirmed	56	Alternatively, employees and third parties can use our independently managed and confidential Unilever Code Support Line (whistleblowing line), via telephone or our online Speak Up platform, which is available directly through a web address.	not_assertion	G	Vague	genuine_property	Independently managed, confidential whistleblowing line open to employees and third parties.	False	claude-inline	False
1665	confirmed	56	In 2025, approximately 86% of our procurement spend (including Ice Cream) was with suppliers that met the mandatory requirements of the RPP.	not_assertion	G	Strong	genuine_result	Measured 2025 outcome: ~86% of procurement spend with RPP-compliant suppliers.	False	claude-inline	False
1669	confirmed	57	Animal welfare policies Unilever uses leading-edge safety science, not animals, to evaluate the safety of our products.	not_assertion	G	Vague	genuine_property	Asserts Unilever evaluates product safety without animal testing; verifiable property.	False	claude-inline	True
1680	confirmed	57	We share our scientific approaches with regulatory authorities and NGOs around the world to promote their broader acceptance and maximise the impact of our science in replacing animal testing.	not_assertion	G	Vague	genuine_property	Advocacy Unilever performs: shares non-animal safety science with regulators and NGOs.	False	claude-inline	False
1695	confirmed	57	Anti-corruption and anti-bribery training As part of our annual mandatory Business Integrity learning programme, anti-corruption and anti-bribery training is deployed to all employees.	not_assertion	G	Vague	genuine_property	Anti-corruption training deployed to all employees annually; verifiable coverage property.	False	claude-inline	False
1696	confirmed	57	Unilever Board members also receive training on this subject.	not_assertion	G	Vague	genuine_property	Board members receive anti-corruption training; verifiable governance property.	False	claude-inline	False
1710	confirmed	57	Political contributions Unilever companies are prohibited from supporting or contributing to political parties or candidates.	not_assertion	G	Vague	genuine_property	Verifiable operational policy: Unilever companies prohibited from political contributions	False	claude-inline	False
1715	contested	58	Topic Main positions on this topic Link to material impacts, risks and opportunities Climate Unilever advocates for changes to public policy frameworks consistent with the 1.5°C ambition of the Paris Agreement.	not_assertion	E	Vague	genuine_property	Unilever's own advocacy for 1.5C-aligned climate policy	False	claude-inline	False
1716	confirmed	58	Furthermore, Unilever works with governments to accelerate enabling conditions, including encouraging the protection and restoration of land, forests and oceans, and putting forward policies that incentivise regenerative agriculture.	not_assertion	E	Vague	genuine_property	Unilever advocates land/forest protection and regenerative agriculture policies	False	claude-inline	False
1717	confirmed	58	Unilever is an IFRS Foundation Corporate Donor and advocates for the adoption of ISSB sustainability reporting standards as the global baseline for non-financial reporting.	not_assertion	G	Vague	genuine_property	Verifiable IFRS donor status plus own ISSB standards advocacy	False	claude-inline	False
1720	refuted	58	■Product regulations and claims: composition and sourcing transparency ■Increased activism, legal or non- compliance costs resulting from biodiversity degradation and loss Plastic pollution Unilever supports public policy that aligns with our approach to reducing packaging waste and creating a circular economy.	risk_description	E	Vague	genuine_property	Unilever advocates packaging-waste reduction and circular-economy policy	False	claude-inline	False
1723	confirmed	58	We also work with governments to identify the enabling conditions to help scale reuse and refill models.	not_assertion	E	Vague	genuine_property	Own advocacy with governments to scale reuse and refill models	False	claude-inline	False
1724	confirmed	58	Although negotiations concluded without a treaty in August 2025, together with others Unilever continues to drive industry convergence aligned to a high-ambition treaty.	not_assertion	E	Vague	genuine_property	Context confirms continued advocacy for high-ambition UN plastics treaty	True	claude-inline	False
1727	contested	58	■Safe products ■Use of non-animal safety science Nutrition, diet and health Unilever works with governments to create policy environments that help consumers make healthier diet choices.	not_assertion	S	Vague	genuine_property	Unilever advocates policy environments for healthier consumer diets	False	claude-inline	False
1728	confirmed	58	Unilever supports policies that restrict the marketing of food and beverages to children under 13, aligning with our global commitment to responsible marketing.	not_assertion	S	Vague	genuine_property	Supports child-marketing restrictions, tied to own responsible-marketing commitment	False	claude-inline	False
1729	contested	58	■Nutritional product quality ■Safe products ■Business integrity and ethical conduct Transparency Registers in the European Union Unilever PLC is registered with the EU Transparency Register (identification number: 6200524920-25).	not_assertion	G	Vague	genuine_property	Verifiable lobbying-transparency registration with ID number	False	claude-inline	False
1731	confirmed	58	Furthermore, we comply with the US Lobbying Disclosure Act (LDA); the LDA website provides a searchable database of disclosure filings.	not_assertion	G	Vague	genuine_property	Asserts own compliance with US Lobbying Disclosure Act	False	claude-inline	False
1744	confirmed	59	Our goal is to pay 100% of invoices within the payment terms agreed with our suppliers.	not_assertion	G	Future Promise	genuine_commitment	Own target: pay 100% of invoices within agreed terms	False	claude-inline	False
1749	confirmed	59	2025 2024 Unilever payment metrics All suppliers SME suppliers All suppliers SME suppliers Average payment days 57 days 48 days 56 days 38 days % of invoices paid on time 85% 80% 87% 84% The calculation of average payment days as per the ESRS requirements does not consider internal working capital management, which is typically calculated on a value-weighted basis.	length	G	Strong	table_blob	Achieved metrics: 85% invoices on time, 57 average payment days	False	claude-inline	False
1755	confirmed	59	As at 31 December 2025, there was 1 legal proceeding outstanding for late payment (2024: 2), which related to SMEs.	not_assertion	G	Strong	genuine_result	Measured outcome: one late-payment proceeding outstanding, down from two	False	claude-inline	False
